country,field,disclosed_investment,estimated_investment
Taiwan,Healthcare and Life Sciences,178,344
Taiwan,Software,441,975
Taiwan,Consumer goods,29,75
Taiwan,Semiconductor,88,107
Taiwan,All,1047,1675
Taiwan,Transportation,35,54
Taiwan,Manufacturing,21,30
Thailand,Information Technology,44,101
Thailand,General purpose,65,123
Thailand,All,138,242
Thailand,Data and analytics,65,123
Thailand,Software,66,140
Turkey,"Mobile, platforms & Internet services",634,663
Turkey,General purpose,181,296
Turkey,"Sales, retail, commerce, marketing",563,593
Turkey,All,1091,1240
Turkey,Software,742,864
Turkey,Hardware,109,127
Turkey,Finance,26,31
Turkey,Data and analytics,161,276
Turkey,Privacy and Security,62,63
Turkey,Information Technology,128,145
Ukraine,"Mobile, platforms & Internet services",26,158
Ukraine,Software,38,457
Ukraine,All,63,491
United Arab Emirates,Professional services,115,408
United Arab Emirates,General purpose,3179,4893
United Arab Emirates,Information Technology,2740,3854
United Arab Emirates,"Mobile, platforms & Internet services",2390,3433
United Arab Emirates,Hardware,343,420
United Arab Emirates,"Sales, retail, commerce, marketing",92,140
United Arab Emirates,All,3918,6024
United Arab Emirates,Other,79,92
United Arab Emirates,Software,3224,5102
United Arab Emirates,Transportation,119,132
United Arab Emirates,Data and analytics,3183,5047
United Arab Emirates,Finance,294,1138
United Kingdom,NLP,184,1107
United Kingdom,Finance,2902,5629
United Kingdom,Telecommunications,89,614
United Kingdom,Sports,61,254
United Kingdom,General purpose,12839,26072
United Kingdom,Cyber Security,122,710
United Kingdom,Gaming,295,379
United Kingdom,All,36629,55998
United Kingdom,Biotechnology,664,1151
United Kingdom,Computer Vision,603,1177
United Kingdom,Hardware,3738,6605
United Kingdom,Professional services,1328,5334
United Kingdom,Lending and Investments,671,1312
United Kingdom,Education,260,1088
United Kingdom,Consumer goods,613,1819
United Kingdom,Real estate,482,928
United Kingdom,Robotics,191,639
United Kingdom,Speech Recognition,40,46
United Kingdom,Information Technology,8728,15692
United Kingdom,Healthcare and Life Sciences,1618,2841
United Kingdom,Energy and natural resources,362,1018
United Kingdom,Privacy and Security,591,1668
United Kingdom,"Military, public safety and government",94,178
United Kingdom,Simulation,61,87
United Kingdom,Data and analytics,14831,30570
