Country,CountryName,Year,INVESTMENT,CAPITAL,GDP,HC_index,LABOR,EFFECTIVE_LABOR,TFP,TFP_Growth,GDP_Growth,AI_Publications,TFP_Change,Efficiency_Change,Technical_Change,FDI_inflows,FIN_credit_private,GDPPC_constant2015,GOV_consumption,INF_broadband,INF_internet,INF_mobile,INST_rule_of_law,OPEN_trade,POP_total,URB_urban_pop,LNPGDP_constant2015,LN_AI_pub,LN_HC_index,LN_AI_pub_L1
COL,Colombia,2023,60802434419.3706,839325750993.1135,357280089727.874,2.68249130249023,22788394.0,61129668.70272054,208.24246489577612,-2.8240299734689778,0.7123800319742468,714.0,0.9818031739218253,0.9929475046200857,0.9887765157307843,4.58478761240549,41.6579211967186,6828.59753791113,14.6540810646728,17.037,77.3369,166.98,-0.458272933959961,40.3881324933957,52321152.0,78.275571579544,8.828874592960394,6.5722825426940075,0.9867459532025412,6.396929655216146
COL,Colombia,2024,62721989161.2179,860081452604.6757,362990610076.174,,23036043.0,,,0.0,1.598331536652231,691.0,,,,3.26725610813097,39.5325760607283,6863.59563194342,14.8892992281624,17.037,77.3369,166.98,-0.458272933959961,37.0254687077888,52886363.0,78.5210811866115,8.833986728002298,6.539585955617669,,6.5722825426940075
CRI,Costa Rica,2016,11360656068.2955,168719376923.90222,58814921621.3159,2.63974022865295,2072882.9999999998,5471872.644390812,288.5302805729551,5.159607294931701,4.20432325175899,23.0,1.0252964840968621,1.0673496225885226,0.9606004090865055,4.45296211770326,58.6380537725523,12084.4351325634,16.7086790790549,13.131,65.8804,171.166,0.431041657924652,62.1784781768295,4866998.0,75.5423088085047,9.399673550842316,3.1780538303479458,0.9706805140792817,
CRI,Costa Rica,2017,11369574479.9032,171652982557.6103,61260269007.514,2.65795803070068,2118331.0,5630434.893132202,293.2234262584984,1.6265695497275967,4.157698962760925,23.0,1.02321878279015,1.0228675710830057,1.000343359900219,4.83327522078441,59.6859060134447,12468.5654531709,16.3581746478518,15.1438,71.5817,179.931,0.42886871099472,65.0719537438815,4913177.0,76.0539254265608,9.430965992214544,3.1780538303479458,0.977558170362285,3.1780538303479458
CRI,Costa Rica,2018,11552889634.9592,174623223064.68896,62862779082.5908,2.67630171775818,2201777.0,5892619.567220452,290.3737909088749,-0.9718307251178948,2.6159044043378987,48.0,1.0072750694897838,1.0539743075484564,0.9556922424728788,4.829438721344,60.3044594653273,12679.5253643016,16.1957338928329,16.8377,73.4797,171.357,0.467835366725922,66.945342016636,4957818.0,76.5544308439668,9.447743795453215,3.8918202981106265,0.9844358854461726,3.1780538303479458
CRI,Costa Rica,2019,10609590131.5992,176501652043.0537,64382494195.8,2.6947717666626,2260413.0,6091297.133397107,289.9641895504193,-0.14106003064999761,2.4175118176251287,59.0,1.037336556354461,1.0428421335322182,0.9947206034348562,4.22094016659811,56.1781065050747,12877.650101079,16.7512009792355,18.0963,81.2026,146.212,0.529464185237885,65.7605300176622,4999553.0,77.0435864735963,9.463248537444727,4.0943445622221,0.991313513079987,3.8918202981106265
CRI,Costa Rica,2020,10252022654.1773,177928592095.07834,61631202097.7205,2.71336936950684,2024586.0,5493449.638332375,296.0160662187744,2.087111749122661,-4.273354321614631,57.0,0.9916061657131748,1.053858675624819,0.9409289771470207,3.37043523313038,60.1355330868079,12242.2098908533,17.7047320692606,19.7191,80.5302,149.223,0.498832434415817,60.1398862509533,5034320.0,77.5211537281257,9.412645086408077,4.060443010546419,0.9981911724031726,4.0943445622221
CRI,Costa Rica,2021,11055185810.0793,180087348300.4037,66522107766.4296,2.70895266532898,2122234.0,5749031.450751782,308.89461365956936,4.350624479712151,7.935762247431488,55.0,1.0646123462594417,0.9873973099817551,1.0782005738694116,5.53072986406838,56.5895695811113,13146.6927918465,16.5307979779817,20.9243,82.749,154.831,0.423667222261429,70.7816423027085,5059988.0,77.9868940200009,9.483925507255908,4.02535169073515,0.9965620898343841,4.060443010546419
CRI,Costa Rica,2022,11216193280.4422,182299174165.82568,69549856033.0247,2.70455527305603,2235855.0,6046993.43003869,311.1866210967447,0.7420030443461734,4.5514917795840715,57.0,1.0312326196685697,0.9973789345649992,1.0339426510129128,5.4175310653788,52.6621990605343,13686.1614090822,15.3958787283636,21.7576,82.598,154.989,0.435932785272598,82.2275325353143,5081765.0,78.4405687613972,9.524140485179723,4.060443010546419,0.9949374895603366,4.02535169073515
CRI,Costa Rica,2023,12180565513.4389,185364780970.9733,73105190307.8725,2.70017671585083,2163953.0,5843055.504795551,332.52375531373497,6.856700375417724,5.111921832245914,48.0,1.036193823287092,1.0747476395863376,0.9641275636445364,5.4191807109794,51.1196932765605,14318.8389652137,14.873493459823,22.5231,85.3951,145.789,0.389316648244858,72.4719990801769,5105525.0,78.8819393641702,9.569331359379445,3.8918202981106265,0.9933172211836272,4.060443010546419
CRI,Costa Rica,2024,12703425014.0414,188799966936.46603,76264229553.4307,,2258250.0,,,0.0,4.32122429646149,69.0,,,,5.55680052586902,51.9611237199592,14866.5823676109,14.6784974511479,22.5231,85.3951,145.789,0.389316648244858,71.3310137687617,5129910.0,79.3107672397967,9.606871178983896,4.248495242049359,,3.8918202981106265
DOM,Dominican Republic,2016,17923228254.1553,241553843287.0811,75735566406.0476,2.66348338127136,4262420.0,11352884.83399867,203.90409303694506,2.498402184819115,6.719740786812922,2.0,1.039481415884332,1.074115606920893,0.9677556207046978,3.33024928523507,26.9063969746819,7177.75376475488,10.3233829732791,7.21471,63.8709,82.5303,-0.394124180078506,51.7306571245477,10551430.0,74.0506780735522,8.87874176696129,1.0986122886681098,0.9796348079228853,
DOM,Dominican Republic,2017,17424681240.4748,246900832363.2018,78714898894.6559,2.69760131835938,4382658.0,11822663.998718282,204.83731403880262,0.4576764438409153,3.933861764015778,1.0,1.0163950866794629,1.0466970514428258,0.9710499186736095,4.55025610026855,27.5827678514226,7379.39978067137,10.667738860033,7.69279,67.5712,82.2092,-0.428010761737823,50.7595355508472,10666843.0,73.926806252977,8.906447583754677,0.6931471805599453,0.9923629775409456,1.0986122886681098
DOM,Dominican Republic,2018,19610141780.1026,254165932525.14432,84301701754.6018,2.73215627670288,4539256.0,12401956.771961208,210.5118919217899,2.770285243006221,7.097516402101611,5.0,1.0399823457832769,1.073611063236485,0.9686770017516103,3.22902365102652,27.3911536580126,7818.70593240469,10.1454233339167,7.98202,74.822,82.8937,-0.365240544080734,52.3351709577013,10782053.0,73.7589255716938,8.964274338056054,1.791759469228055,1.0050911423796112,0.6931471805599453
DOM,Dominican Republic,2019,20687566066.4377,262145201965.32477,88427452425.8944,2.76715397834778,4663268.0,12903980.598301895,212.87616500080674,1.123106660356843,4.894030114958348,5.0,1.016911606292116,1.0375998093927346,0.9800614813983759,3.17366550445317,28.0978072005075,8117.04639185786,10.4392552012067,8.5357,79.7155,82.1376,-0.320300966501236,50.912982200697,10894043.0,73.5403464672933,9.00172162213943,1.791759469228055,1.0178193473763957,1.791759469228055
DOM,Dominican Republic,2020,18969849200.0413,268007791067.09982,81415993438.0734,2.80260014533997,4390655.0,12305250.341137664,200.58540743708886,-5.773665437683595,-7.929052342310627,5.0,0.9005662615983104,0.9969881849062101,0.9032867943997046,3.13265976088131,30.6276284346111,7395.8734262396,12.0062907437446,9.37345,81.6173,81.6619,-0.171013608574867,44.7331613466756,11008300.0,73.2643793773663,8.908677478547647,1.791759469228055,1.0305476096129562,1.791759469228055
DOM,Dominican Republic,2021,23586046073.3354,278193447587.0802,92824351636.8768,2.84226489067078,4556645.0,12951192.102750557,218.34295125778257,8.852859262089208,14.012428906220764,3.0,1.0983766129843147,1.066709380901061,1.029686841280522,3.53154938314388,27.7700298032382,8344.90510312395,10.4769394644063,10.3195,85.243,87.5208,-0.11635073274374,51.9500227303115,11123476.0,72.9243347395035,9.029406464326538,1.3862943611198906,1.0446012310566413,1.791759469228055
