Country,Year,CountryName,GDP,INVESTMENT,LABOR,HC_index,LABOR_ILOSTAT,CAPITAL,TFP,TFP_Growth,GDP_Growth
BRA,2005,Brazil,1368459094848.72,221336823885.976,83330243.0,2.25713014602661,83330243.0,3053225047591.243,244.47402475081034,-0.579214400686312,3.202132062162777
BRA,2006,Brazil,1422677289673.84,236079601195.265,85281316.0,2.29880857467651,85281316.0,3136643396406.946,245.0821837208361,0.24876220311980113,3.9619887089949124
BRA,2007,Brazil,1509031960316.93,264296798014.956,86726175.0,2.34125638008118,86726175.0,3244108024601.554,251.116715448194,2.4622482286315917,6.069870607331285
BRA,2008,Brazil,1585904997750.07,296770834353.685,89200229.0,2.38448834419251,89200229.0,3378673457725.1616,252.44758946886776,0.5299822508025409,5.094195448119931
BRA,2009,Brazil,1583909738906.86,290438116325.471,89786445.0,2.42851853370667,89786445.0,3500177901164.3745,245.04167841704577,-2.933643005822917,-0.12581200299138784
BRA,2010,Brazil,1703150040806.99,342292709370.151,96467543.0,2.47336173057556,,3667461715476.3066,244.47823298578066,-0.2299386108130408,7.52822581812167
BRA,2011,Brazil,1770840429106.43,365685151995.703,90931209.0,2.5608959197998,90931209.0,3849773781698.1943,253.89779198612834,3.852923381074813,3.974423079446754
BRA,2012,Brazil,1804861390164.77,368533023762.941,89317315.0,2.62187433242798,89317315.0,4025818116376.2256,253.82769555071098,-0.02760813115743055,1.9211759850946697
BRA,2013,Brazil,1859094274383.73,390008184132.424,90770602.0,2.68430471420288,90770602.0,4214535394689.838,250.7459614935887,-1.2141047297601126,3.004822670288765
BRA,2014,Brazil,1868463286696.58,373533970831.149,91977782.0,2.74822163581848,91977782.0,4377342595786.4946,242.8193733329422,-3.1612027222417183,0.5039557402733541
BRA,2015,Brazil,1802211999456.42,321439054845.258,91961930.0,2.81366038322449,91961930.0,4479914520842.428,228.8177089895707,-5.766287982373264,-3.5457633934724786
BRA,2016,Brazil,1743173031878.48,282449055268.201,90212798.0,2.8806574344635,90212798.0,4538367850068.507,219.7008596020657,-3.984328585302166,-3.2759169063210747
BRA,2017,Brazil,1766232928473.27,275225828621.726,90503629.0,2.94924998283386,90503629.0,4586675286186.807,217.9607292228576,-0.7920453212426737,1.3228690539079935
BRA,2018,Brazil,1797736638146.82,289624978886.943,92076304.0,3.01947546005249,92076304.0,4646966500764.409,215.062718543242,-1.3296022131823904,1.7836667613700286
BRA,2019,Brazil,1819683008336.22,301285475912.595,94129066.0,3.09137320518494,94129066.0,4715903651638.783,210.246678985391,-2.2393651444904794,1.220777822719521
BRA,2020,Brazil,1760056385298.89,296022135253.885,86874675.0,3.16498303413391,86874675.0,4776130604310.729,210.05253960800866,-0.09233885563340039,-3.276758796129453
BRA,2021,Brazil,1843880907790.44,334230064783.313,91187695.0,3.22658061981201,91187695.0,4871554138878.504,209.1260033084546,-0.4410974041461735,4.76260437970657
BRA,2022,Brazil,1899505159031.73,337871418527.24,97918963.0,3.29099345207214,97918963.0,4965847850461.818,201.7050626813591,-3.548549921909927,3.0166943540809177
BRA,2023,Brazil,1961080569227.7,327806716034.428,99281765.0,3.35838437080383,99281765.0,5045362173973.155,202.5504382028425,0.4191146767688725,3.241655328135984
BRA,2024,Brazil,2028136094548.34,350296743007.11,102111527.0,3.4271552788893853,102111527.0,5143390808281.607,201.62955950340867,-0.4546416722691293,3.4193151659774657
CHL,1992,Chile,85414661278.3917,11790748775.4314,4723765.0,2.66467809677124,4723765.0,106371916881.82115,286.5408234211294,,
CHL,1993,Chile,91125130548.8196,13907897365.0331,4992285.0,2.67962789535522,4992285.0,114961218402.76318,285.9579525071272,-0.20341636037863875,6.685584400804201
CHL,1994,Chile,95751374590.6832,14768248442.7463,5036220.0,2.69466161727905,5036220.0,123981405925.3713,289.91749139435905,1.3846577276542815,5.076803746673519
CHL,1995,Chile,104613573720.419,18238747725.666,5095317.0,2.70977973937988,5095317.0,136021083354.76874,303.21974503998575,4.588289441126681,9.255427577535924
CHL,1996,Chile,112056685779.901,19865415630.8878,5343801.0,2.72498273849487,5343801.0,149085444817.9181,303.84095785247706,0.20487215052877872,7.114862627075325
CHL,1997,Chile,120339623825.598,22444884651.3311,6086471.0,2.7402708530426,,164076057228.35327,288.8946133145306,-4.919134221925181,7.391739268432551
CHL,1998,Chile,125370887065.113,23238874488.7083,5379402.0,2.75564479827881,5379402.0,179111128855.64392,315.12408315934755,9.079251961081013,4.180886627007041
CHL,1999,Chile,125027832953.909,20097720510.9821,6313009.0,2.77110481262207,,190253292923.8438,276.28821164884585,-12.323993495242869,-0.2736313981936189
CHL,2000,Chile,131243743563.397,22073999301.2587,5496444.0,2.7866518497467,5496444.0,202814627578.9103,309.19817711140456,11.911462043985544,4.971621488296507
CHL,2001,Chile,135383217071.739,22569037125.1008,6355065.0,2.80529260635376,,215242933325.06558,283.0257224281614,-8.464621275504225,3.154034924600002
CHL,2002,Chile,139719269577.32,23568705901.2465,5085885.0,2.82405781745911,5085885.0,228049492560.05878,329.4124735622354,16.389588457228687,3.202799135201051
CHL,2003,Chile,146318553366.968,25583503697.446,5994631.0,2.84294891357422,5994631.0,242230521629.50183,302.22042643418206,-8.254710829253398,4.723245268610543
CHL,2004,Chile,156084225513.955,28977109190.0792,6752634.0,2.8619658946991,,259096104738.10593,290.17381665621645,-3.986034273096739,6.674254168228844
