iso3,country,year,rank,n_ranked,rank_pct,score_raw,score_100,score_scale,panel_a,panel_b,latam_panel,country_source,source_file,source_sheet
BGR,Bulgaria,2025,59,195,0.29896907216494845,56.6,56.6,0-100,0,0,0,Bulgaria,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BHR,Bahrain,2019,100,194,0.5129533678756477,3.9621364274077915,39.62136427407791,0-10,0,0,0,Bahrain,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BHR,Bahrain,2020,43,172,0.24561403508771928,54.749,54.749,0-100,0,0,0,Bahrain,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BHR,Bahrain,2021,55,160,0.33962264150943394,53.53874411,53.53874411,0-100,0,0,0,Bahrain,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BHR,Bahrain,2022,56,181,0.3055555555555556,53.59440928,53.59440928,0-100,0,0,0,Bahrain,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BHR,Bahrain,2023,56,193,0.2864583333333333,56.13114214,56.13114214,0-100,0,0,0,Bahrain,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BHR,Bahrain,2024,68,188,0.3582887700534759,54.32835116,54.32835116,0-100,0,0,0,Bahrain,2024-GAIRI-data.xlsx,Ranking
BHR,Bahrain,2025,48,195,0.2422680412371134,59.57,59.57,0-100,0,0,0,Bahrain,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BHS,Bahamas,2019,133,194,0.6839378238341969,2.5266,25.266000000000002,0-10,0,0,0,Bahamas,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BHS,Bahamas,2022,89,181,0.4888888888888889,40.74236429,40.74236429,0-100,0,0,0,Bahamas,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BHS,Bahamas,2023,93,193,0.4791666666666667,42.14236214,42.14236214,0-100,0,0,0,Bahamas,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BHS,Bahamas,2024,99,188,0.5240641711229946,42.03231259,42.03231259,0-100,0,0,0,Bahamas,2024-GAIRI-data.xlsx,Ranking
BHS,Bahamas,2025,123,195,0.6288659793814433,31.18,31.18,0-100,0,0,0,Bahamas,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BIH,Bosnia and Herzegovina,2019,95,194,0.48704663212435234,4.183172277126153,41.83172277126153,0-10,0,0,0,Bosnia and Herzegovina,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BIH,Bosnia and Herzegovina,2020,100,172,0.5789473684210527,36.25,36.25,0-100,0,0,0,Bosnia and Herzegovina,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BIH,Bosnia and Herzegovina,2021,96,160,0.5974842767295597,38.67179055,38.67179055,0-100,0,0,0,Bosnia and Herzegovina,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BIH,Bosnia and Herzegovina,2022,112,181,0.6166666666666667,35.16653037,35.16653037,0-100,0,0,0,Bosnia and Herzegovina,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BIH,Bosnia and Herzegovina,2023,117,193,0.6041666666666666,36.48814846,36.48814846,0-100,0,0,0,Bosnia and Herzegovina,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BIH,Bosnia and Herzegovina,2024,128,188,0.679144385026738,37.01680441,37.01680441,0-100,0,0,0,Bosnia and Herzegovina,2024-GAIRI-data.xlsx,Ranking
BIH,Bosnia and Herzegovina,2025,114,195,0.5824742268041238,35.67,35.67,0-100,0,0,0,Bosnia and Herzegovina,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BLR,Belarus,2019,122,194,0.6269430051813472,3.0947112566277157,30.947112566277156,0-10,0,0,0,Belarus,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BLR,Belarus,2020,66,172,0.38011695906432746,46.103,46.103,0-100,0,0,0,Belarus,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BLR,Belarus,2021,73,160,0.4528301886792453,46.19630163,46.19630163,0-100,0,0,0,Belarus,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BLR,Belarus,2022,91,181,0.5,40.27136657,40.27136657,0-100,0,0,0,Belarus,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BLR,Belarus,2023,107,193,0.5520833333333334,39.20286213,39.20286213,0-100,0,0,0,Belarus,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BLR,Belarus,2024,113,188,0.5989304812834224,39.23880845,39.23880845,0-100,0,0,0,Belarus,2024-GAIRI-data.xlsx,Ranking
BLR,Belarus,2025,121,195,0.6185567010309279,32.47,32.47,0-100,0,0,0,Belarus,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BLZ,Belize,2019,171,194,0.8808290155440415,0.7447999999999999,7.447999999999999,0-10,0,0,0,Belize,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BLZ,Belize,2020,133,172,0.7719298245614035,31.015,31.015,0-100,0,0,0,Belize,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BLZ,Belize,2021,124,160,0.7735849056603774,32.27647959,32.27647959,0-100,0,0,0,Belize,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BLZ,Belize,2022,143,181,0.7888888888888889,29.98340518,29.98340518,0-100,0,0,0,Belize,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BLZ,Belize,2023,129,193,0.6666666666666666,34.2435614,34.2435614,0-100,0,0,0,Belize,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BLZ,Belize,2024,124,188,0.6577540106951871,37.58701156,37.58701156,0-100,0,0,0,Belize,2024-GAIRI-data.xlsx,Ranking
BLZ,Belize,2025,158,195,0.8092783505154639,22.68,22.68,0-100,0,0,0,Belize,2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BOL,Bolivia,2019,89,194,0.45595854922279794,4.399116026142857,43.99116026142857,0-10,0,1,1,Bolivia,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BOL,Bolivia,2020,122,172,0.7076023391812866,33.03,33.03,0-100,0,1,1,Bolivia,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BOL,Bolivia,2021,130,160,0.8113207547169812,31.62091026,31.62091026,0-100,0,1,1,Bolivia,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BOL,Bolivia,2022,124,181,0.6833333333333333,32.55578829,32.55578829,0-100,0,1,1,Bolivia,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BOL,Bolivia,2023,126,193,0.6510416666666666,35.25033938,35.25033938,0-100,0,1,1,Bolivia (Plurinational State of),2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
BOL,Bolivia,2024,151,188,0.8021390374331551,33.07863133,33.07863133,0-100,0,1,1,Bolivia (Plurinational State of),2024-GAIRI-data.xlsx,Ranking
BOL,Bolivia,2025,139,195,0.711340206185567,27.48,27.48,0-100,0,1,1,Bolivia (Plurinational State of),2025-Government-AI-Readiness-Index-data-1.xlsx,Global Rankings
BRA,Brazil,2019,40,194,0.20207253886010362,6.1572483487037575,61.57248348703757,0-10,1,1,1,Brazil,SHARED_-2019-Index-data-for-report.xlsx,Rankings
BRA,Brazil,2020,63,172,0.36257309941520466,47.464,47.464,0-100,1,1,1,Brazil,2020-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BRA,Brazil,2021,40,160,0.24528301886792453,60.63532,60.63532,0-100,1,1,1,Brazil,2021-Government-AI-Readiness-Index-public-dataset.xlsx,Global ranking
BRA,Brazil,2022,37,181,0.2,62.36663855,62.36663855,0-100,1,1,1,Brazil,2022-Government-AI-Readiness-Index-public-data.xlsx,Global rankings
BRA,Brazil,2023,32,193,0.16145833333333334,63.69915943,63.69915943,0-100,1,1,1,Brazil,2023-Government-AI-Readiness-Index-Public-Indicator-Data.xlsx,Global rankings
