country_source,iso3,country,editions,n_editions
South Sudan,SSD,South Sudan,"2019, 2022, 2023, 2024, 2025",5
Spain,ESP,Spain,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Sri Lanka,LKA,Sri Lanka,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
State of Palestine,PSE,State of Palestine,"2023, 2024, 2025",3
Sudan,SDN,Sudan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Suriname,SUR,Suriname,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Sweden,SWE,Sweden,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Switzerland,CHE,Switzerland,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Syria,SYR,Syria,2019,1
Syrian Arab Republic,SYR,Syria,"2020, 2022, 2023, 2024, 2025",5
Taiwan,TWN,Taiwan,"2019, 2021, 2022, 2023, 2024, 2025",6
Tajikistan,TJK,Tajikistan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Tanzania,TZA,Tanzania,2019,1
United Republic of Tanzania,TZA,Tanzania,"2020, 2021, 2022, 2023, 2024, 2025",6
Thailand,THA,Thailand,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Timor-Leste,TLS,Timor-Leste,"2019, 2020, 2022, 2023, 2024, 2025",6
Togo,TGO,Togo,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Tonga,TON,Tonga,"2019, 2020, 2022, 2023, 2024, 2025",6
Trinidad and Tobago,TTO,Trinidad and Tobago,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Tunisia,TUN,Tunisia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Turkey,TUR,Turkey,"2019, 2020, 2021, 2022",4
Türkiye,TUR,Turkey,"2023, 2024, 2025",3
Turkmenistan,TKM,Turkmenistan,"2019, 2022, 2023, 2024, 2025",5
Tuvalu,TUV,Tuvalu,"2019, 2023, 2025",3
Uganda,UGA,Uganda,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Ukraine,UKR,Ukraine,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
United Arab Emirates,ARE,United Arab Emirates,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
United Kingdom,GBR,United Kingdom,"2019, 2020, 2021, 2022",4
United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom,"2023, 2024, 2025",3
United States of America,USA,United States of America,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Uruguay,URY,Uruguay,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Uzbekistan,UZB,Uzbekistan,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Vanuatu,VUT,Vanuatu,"2019, 2020, 2022, 2023, 2024, 2025",6
Venezuela,VEN,Venezuela,"2019, 2020, 2021, 2022",4
"Venezuela, Bolivarian Republic of",VEN,Venezuela,"2023, 2024, 2025",3
Viet Nam,VNM,Viet Nam,"2020, 2021, 2022, 2023, 2024, 2025",6
Vietnam,VNM,Viet Nam,2019,1
Yemen,YEM,Yemen,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Zambia,ZMB,Zambia,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
Zimbabwe,ZWE,Zimbabwe,"2019, 2020, 2021, 2022, 2023, 2024, 2025",7
