cik,name,country,fy,form,total_words,ai_core,ai_applied,ai_total,ai_bare_diag,risk_section_found,ai_in_risk,ai_nonrisk,exposure_nonrisk_per10k,exposure_total_per10k
1013131,BUENAVENTURA MINING CO INC,Peru,2020,20-F,194934,0,0,0,0,1,0,0,0.0,0.0
1013131,BUENAVENTURA MINING CO INC,Peru,2021,20-F,273450,0,0,0,0,0,0,0,0.0,0.0
1013131,BUENAVENTURA MINING CO INC,Peru,2022,20-F,240241,0,0,0,0,0,0,0,0.0,0.0
1013131,BUENAVENTURA MINING CO INC,Peru,2023,20-F,244051,0,0,0,0,0,0,0,0.0,0.0
1013131,BUENAVENTURA MINING CO INC,Peru,2024,20-F,233230,0,0,0,0,0,0,0,0.0,0.0
1013131,BUENAVENTURA MINING CO INC,Peru,2025,20-F,236378,0,0,0,0,0,0,0,0.0,0.0
1027552,BANCO SANTANDER CHILE,Chile,2017,20-F,184141,0,0,0,0,0,0,0,0.0,0.0
1027552,BANCO SANTANDER CHILE,Chile,2018,20-F,198655,1,0,1,0,1,0,1,0.0503,0.0503
1027552,BANCO SANTANDER CHILE,Chile,2019,20-F,200428,0,0,0,0,0,0,0,0.0,0.0
1027552,BANCO SANTANDER CHILE,Chile,2020,20-F,206550,1,0,1,0,0,0,1,0.0484,0.0484
1027552,BANCO SANTANDER CHILE,Chile,2021,20-F,222127,0,0,0,0,1,0,0,0.0,0.0
1027552,BANCO SANTANDER CHILE,Chile,2022,20-F,230784,0,0,0,0,1,0,0,0.0,0.0
1027552,BANCO SANTANDER CHILE,Chile,2023,20-F,231854,3,5,8,16,0,0,8,0.345,0.345
1027552,BANCO SANTANDER CHILE,Chile,2024,20-F,240962,5,6,11,19,0,0,11,0.4565,0.4565
1027552,BANCO SANTANDER CHILE,Chile,2025,20-F,249649,2,10,12,25,0,0,12,0.4807,0.4807
1034957,CRESUD INC,Argentina,2017,20-F,410382,0,0,0,0,1,0,0,0.0,0.0
1034957,CRESUD INC,Argentina,2018,20-F,442984,0,0,0,0,1,0,0,0.0,0.0
1034957,CRESUD INC,Argentina,2019,20-F,377976,0,0,0,0,1,0,0,0.0,0.0
1034957,CRESUD INC,Argentina,2020,20-F,363783,0,0,0,0,0,0,0,0.0,0.0
1034957,CRESUD INC,Argentina,2021,20-F,260031,1,2,3,0,0,0,3,0.1154,0.1154
1034957,CRESUD INC,Argentina,2022,20-F,242655,2,1,3,0,0,0,3,0.1236,0.1236
1034957,CRESUD INC,Argentina,2023,20-F,257311,2,1,3,0,0,0,3,0.1166,0.1166
1034957,CRESUD INC,Argentina,2024,20-F,253363,4,1,5,0,0,0,5,0.1973,0.1973
1034957,CRESUD INC,Argentina,2025,20-F,252433,6,1,7,0,0,0,7,0.2773,0.2773
