cik,name,country,fy,revenue,revenue_concept,cogs,cogs_concept,ppe_net,ppe_net_concept,assets,assets_concept,intangibles,intangibles_concept,goodwill,goodwill_concept,rnd,rnd_concept,liabilities,liabilities_concept,units
912505,ENEL AMERICAS S.A.,Chile,2018,11924761000,ifrs-full:Revenue,,,8686827000,ifrs-full:PropertyPlantAndEquipment,27396356000,ifrs-full:Assets,5827289000,ifrs-full:IntangibleAssetsOtherThanGoodwill,1205570000,ifrs-full:Goodwill,856000,ifrs-full:ResearchAndDevelopmentExpense,18564456000,ifrs-full:Liabilities,USD
912505,ENEL AMERICAS S.A.,Chile,2019,13053376000,ifrs-full:Revenue,,,8763438000,ifrs-full:PropertyPlantAndEquipment,29776384000,ifrs-full:Assets,5527879000,ifrs-full:IntangibleAssetsOtherThanGoodwill,1173043000,ifrs-full:Goodwill,86000,ifrs-full:ResearchAndDevelopmentExpense,17530198000,ifrs-full:Liabilities,USD
912505,ENEL AMERICAS S.A.,Chile,2020,11238976000,ifrs-full:Revenue,,,8354672000,ifrs-full:PropertyPlantAndEquipment,26933558000,ifrs-full:Assets,4524826000,ifrs-full:IntangibleAssetsOtherThanGoodwill,945512000,ifrs-full:Goodwill,54000,ifrs-full:ResearchAndDevelopmentExpense,16599895000,ifrs-full:Liabilities,USD
912505,ENEL AMERICAS S.A.,Chile,2021,14535024000,ifrs-full:Revenue,,,12997528000,ifrs-full:PropertyPlantAndEquipment,34958938000,ifrs-full:Assets,4756270000,ifrs-full:IntangibleAssetsOtherThanGoodwill,1470225000,ifrs-full:Goodwill,154000,ifrs-full:ResearchAndDevelopmentExpense,19928845000,ifrs-full:Liabilities,USD
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2016,96287363000,ifrs-full:Revenue,52377790000,ifrs-full:CostOfSales,86783572000,ifrs-full:PropertyPlantAndEquipment,309054150000,ifrs-full:Assets,,,,,,,212769750000,ifrs-full:Liabilities,MXN
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2017,94274235000,ifrs-full:Revenue,53534553000,ifrs-full:CostOfSales,85719810000,ifrs-full:PropertyPlantAndEquipment,297220101000,ifrs-full:Assets,,,,,,,197563187000,ifrs-full:Liabilities,MXN
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2018,101282333000,ifrs-full:Revenue,57839268000,ifrs-full:CostOfSales,87342530000,ifrs-full:PropertyPlantAndEquipment,297170593000,ifrs-full:Assets,,,,,,,192639902000,ifrs-full:Liabilities,MXN
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2019,101757181000,ifrs-full:Revenue,59067362000,ifrs-full:CostOfSales,83329232000,ifrs-full:PropertyPlantAndEquipment,290343892000,ifrs-full:Assets,,,,,,,184718659000,ifrs-full:Liabilities,MXN
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2020,70680227000,ifrs-full:Revenue,45220302000,ifrs-full:CostOfSales,83281627000,ifrs-full:PropertyPlantAndEquipment,271246332000,ifrs-full:Assets,,,,,,,183307299000,ifrs-full:Liabilities,MXN
912892,"GRUPO TELEVISA, S.A.B.",Mexico,2021,73915432000,ifrs-full:Revenue,46653598000,ifrs-full:CostOfSales,87922126000,ifrs-full:PropertyPlantAndEquipment,293742081000,ifrs-full:Assets,,,,,,,197218017000,ifrs-full:Liabilities,MXN
