cik,name,country,sic,sic_desc,form,status,fy,revenue,cogs,assets,ppe_net,intangibles,goodwill,rnd,liabilities,currency,revenue_concept,employees,emp_matches,ai_exposure,ai_exposure_total,ai_total_mentions,filing_words,cur,revenue_usd,assets_usd,ppe_net_usd,intangibles_usd,goodwill_usd,rnd_usd,cogs_usd,ias29_ars,emp_min,emp_max,employees_clean,lprod,intang_int,rnd_int,size,sic2,exp,exp_tot
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2017,10580673000.0,6496304000.0,28526195000.0,16211228000.0,141785000.0,45445000.0,,16909584000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,,,,,,,BRL,3315381334.0660505,8938487602.34139,5079677135.234112,44427357.54621232,14239879.138749648,,2035572313.9746044,0,,,,,0.006563441075825221,,22.91363223982303,26,,
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2018,13443376000.0,6922331000.0,53932644000.0,17020259000.0,180311000.0,158334000.0,,41906709000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,9385.0,2.0,0.0871,0.0871,1.0,114757.0,BRL,3591534463.4714704,14408653721.51592,4547135092.830139,48171915.34648769,42300536.54225634,,1849371047.425656,0,9385.0,9385.0,9385.0,12.854977426255854,0.006279035754301236,,23.391094815911543,26,0.0871,0.0871
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2019,26012950000.0,20743482000.0,97908225000.0,41120945000.0,9649789000.0,161462000.0,,79820256000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,14534.0,1.0,0.0872,0.0872,1.0,114709.0,BRL,6322960103.749729,23798523447.12736,9995256003.778383,2345571373.3583846,39246520.83949105,,5042112067.2146225,0,14534.0,14534.0,14534.0,12.983207295123684,0.1002086494776103,,23.892889375662612,26,0.0872,0.0872
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2020,30460277000.0,18966331000.0,101800748000.0,39156890000.0,8741949000.0,236360000.0,,94463370000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,15653.0,2.0,0.246,0.246,3.0,121966.0,BRL,5596095482.25175,18702610812.523106,7193818205.528095,1606051754.0590718,43423542.34615212,,3484452857.207809,0,1337.0,15653.0,15653.0,12.786917085305522,0.08819492171118427,,23.651928966704542,26,0.246,0.246
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2021,40965431000.0,20615588000.0,118975152000.0,38169703000.0,8014740000.0,231743000.0,,103800022000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,17421.0,2.0,0.1354,0.1354,2.0,147693.0,BRL,6869601066.107258,19951256732.03519,6400778071.19367,1344012869.010764,38861594.300396696,,3457082272.690552,0,1304.0,17421.0,17421.0,12.884940218474421,0.06931264941775406,,23.716557972385218,26,0.1354,0.1354
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2022,49830946000.0,24821288000.0,133197968000.0,50656634000.0,7173183000.0,233399000.0,,100031603000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,19319.0,2.0,0.0679,0.0679,1.0,147322.0,BRL,8082348670.953697,21604093561.42934,8216271440.740618,1163457063.1381886,37856236.91454548,,4025897964.65351,0,3772.0,19319.0,19319.0,12.944103997746689,0.05560581825092108,,23.796148650413343,26,0.0679,0.0679
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2023,39755575000.0,25076675000.0,143593025000.0,59289069000.0,6557009000.0,228887000.0,,98782725000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,20907.0,2.0,0.0715,0.0715,1.0,139868.0,BRL,6403534825.643903,23128905475.69883,9549845980.633013,1056154652.1100626,36867429.92994457,,4039165869.789427,0,3565.0,20907.0,20907.0,12.632276681241645,0.047257838603232995,,23.864348991520984,26,0.0715,0.0715
909327,Suzano S.A.,Brazil,2621,Paper Mills,20-F,active,2024,47403282000.0,27401527000.0,165936105000.0,64986040000.0,5709964000.0,225486000.0,,133520530000.0,BRL,ifrs-full:RevenueFromContractsWithCustomers,23980.0,2.0,0.2944,0.2944,4.0,135891.0,BRL,6873602676.34464,24061179043.05034,9423149613.755432,827960052.0536014,32696073.092117283,,3973294704.006569,0,5557.0,23980.0,23980.0,12.565978784182912,0.035769490913385,,23.90386555057533,26,0.2944,0.2944
910631,COCA COLA FEMSA SAB DE CV,Mexico,2086,Bottled & Canned Soft Drinks & Carbonated Waters,20-F,active,2017,183256000000.0,99748000000.0,285677000000.0,75827000000.0,,118130000000.0,,144967000000.0,MXN,ifrs-full:RevenueFromContractsWithCustomers,,0.0,0.0,0.0,0.0,124164.0,MXN,9682500125.485304,15094008318.135641,4006389624.433438,,6241507725.933005,,5270277767.259506,0,,,,,0.413508962919661,,23.437563701897822,20,0.0,0.0
910631,COCA COLA FEMSA SAB DE CV,Mexico,2086,Bottled & Canned Soft Drinks & Carbonated Waters,20-F,active,2018,182342000000.0,98404000000.0,263787000000.0,61942000000.0,,111347000000.0,,132037000000.0,MXN,ifrs-full:RevenueFromContractsWithCustomers,,0.0,0.0,0.0,0.0,123391.0,MXN,9249177917.601873,13380421928.850431,3141967174.716166,,5648003277.309757,,4991478122.449544,0,,,,,0.4221095050173056,,23.31705842544305,20,0.0,0.0
910631,COCA COLA FEMSA SAB DE CV,Mexico,2086,Bottled & Canned Soft Drinks & Carbonated Waters,20-F,active,2019,194471000000.0,106964000000.0,257839000000.0,61187000000.0,,107088000000.0,,128154000000.0,MXN,ifrs-full:RevenueFromContractsWithCustomers,,0.0,0.0,0.0,0.0,125007.0,MXN,9679128546.967312,12833053902.234804,3045373543.6300983,,5329938745.816269,,5323767070.143166,0,,,,,0.4153289455823208,,23.275290015483154,20,0.0,0.0
910631,COCA COLA FEMSA SAB DE CV,Mexico,2086,Bottled & Canned Soft Drinks & Carbonated Waters,20-F,active,2020,183615000000.0,100804000000.0,263066000000.0,59460000000.0,,100082000000.0,,140609000000.0,MXN,ifrs-full:RevenueFromContractsWithCustomers,,0.0,0.0706,0.0706,1.0,141631.0,MXN,8093856524.868425,11596103044.800465,2621031554.9855766,,4411673058.965127,,4443499240.981602,0,,,,,0.38044445120235987,,23.17393493420301,20,0.0706,0.0706
910631,COCA COLA FEMSA SAB DE CV,Mexico,2086,Bottled & Canned Soft Drinks & Carbonated Waters,20-F,active,2021,189376000000.0,106206000000.0,271567000000.0,62183000000.0,,,,143995000000.0,MXN,us-gaap:Revenues,,0.0,0.1522,0.1522,2.0,131364.0,MXN,8450390779.092629,12117941411.297358,2774747855.146993,,,,4739154925.039666,0,,,,,0.0,,23.217952952608318,20,0.1522,0.1522
910631,COCA COLA FEMSA SAB DE CV,Mexico,2086,Bottled & Canned Soft Drinks & Carbonated Waters,20-F,active,2022,220251000000.0,126440000000.0,277995000000.0,71205000000.0,,,,146119000000.0,MXN,us-gaap:Revenues,,0.0,0.1559,0.1559,2.0,128281.0,MXN,9165443301.070583,11568380667.879448,2963098420.677912,,,,5261627193.462751,0,,,,,0.0,,23.17154140879576,20,0.1559,0.1559
910631,COCA COLA FEMSA SAB DE CV,Mexico,2086,Bottled & Canned Soft Drinks & Carbonated Waters,20-F,active,2023,236635000000.0,134228000000.0,273520000000.0,78730000000.0,,,,139815000000.0,MXN,us-gaap:Revenues,86000.0,1.0,0.0778,0.0778,1.0,128466.0,MXN,10719405518.717817,12390271081.960392,3566415773.1893163,,,,6080437652.783634,0,86000.0,86000.0,86000.0,11.73321896047223,0.0,,23.240177411440968,20,0.0778,0.0778
