cik,fy,form,employees,emp_matches,emp_min,emp_max
1432364,2023,20-F,,0,,
1432364,2024,20-F,,0,,
1432364,2025,20-F,,0,,
1439124,2022,20-F,708,6,669,708
1439124,2023,20-F,708,5,101,1573
1439124,2024,20-F,684,3,684,3054
1439124,2025,20-F,3054,3,2765,3054
1444406,2017,20-F,11682,3,4609,11682
1444406,2018,20-F,12228,2,12228,12228
1444406,2019,20-F,15157,3,5131,15157
1444406,2020,20-F,13977,3,4933,13977
1444406,2021,20-F,18378,4,306,18378
1444406,2022,20-F,18903,3,525,18903
1444406,2023,20-F,19659,3,754,19659
1444406,2024,20-F,19581,2,19581,19581
1444406,2025,20-F,19581,2,19581,19581
1449877,2017,20-F,3330,3,700,3330
1450123,2023,20-F,270000,3,270000,272565
1450123,2024,20-F,280000,5,3000,281974
1464591,2017,20-F,405,2,405,405
1464591,2018,20-F,457,2,457,457
1464591,2019,20-F,439,2,439,439
1464591,2020,20-F,437,2,437,437
1464591,2021,20-F,463,2,463,463
1464591,2022,20-F,482,2,482,482
1464591,2023,20-F,470,2,470,470
1464591,2024,20-F,476,2,476,476
1464591,2025,20-F,382,3,382,18000
1469395,2017,20-F,3330,3,700,3330
1469395,2018,20-F,2127,3,1034,2127
1469395,2019,20-F,1944,3,1944,2000
1469395,2020,20-F,1937,2,1937,1937
1469395,2021,20-F,1937,3,101,1937
1469395,2022,20-F,1907,3,106,1907
1469395,2023,20-F,1924,3,106,1924
1469395,2024,20-F,1847,3,105,1847
1469395,2025,20-F,1847,3,108,1847
1471055,2017,20-F,,0,,
1471055,2018,20-F,,0,,
1471055,2019,20-F,,0,,
1471055,2020,20-F,,0,,
1471055,2021,20-F,,0,,
1471055,2022,20-F,,0,,
1471055,2023,20-F,,0,,
1471055,2024,20-F,5686,1,5686,5686
1471055,2025,20-F,,0,,
1499505,2017,20-F,7790,2,7790,7790
1499505,2018,20-F,7743,2,7743,7743
1499505,2019,20-F,8237,2,8237,8237
1499505,2020,20-F,8716,3,141,8716
1499505,2021,20-F,9104,2,9104,9104
1499505,2022,20-F,9776,2,9776,9776
1499505,2023,20-F,9762,2,9762,9762
1499505,2024,20-F,10320,2,10320,10320
1499505,2025,20-F,,0,,
1499849,2017,20-F,,0,,
1499849,2018,20-F,,0,,
1499849,2019,20-F,,0,,
1499849,2020,20-F,,0,,
1499849,2021,20-F,,0,,
1499849,2022,20-F,,0,,
1499849,2023,20-F,,0,,
1499849,2024,20-F,,0,,
1499849,2025,20-F,,0,,
1504764,2017,20-F,31987,1,31987,31987
1504764,2018,20-F,32125,1,32125,32125
1504764,2019,20-F,,0,,
1504764,2020,20-F,,0,,
1504764,2021,20-F,,0,,
1504764,2022,20-F,,0,,
1504764,2023,20-F,2200,4,1500,74000
1504764,2024,20-F,70000,2,1500,70000
1504764,2025,20-F,6522,1,6522,6522
1508478,2017,20-F,78806,2,78806,78806
1508478,2018,20-F,78691,3,2000,78691
1508478,2019,20-F,80855,2,80855,80855
1508478,2020,20-F,73438,2,73438,73438
1508478,2021,20-F,81256,2,81256,81256
1508478,2022,20-F,93647,2,93647,93647
1508478,2023,20-F,100795,2,100795,100795
1508478,2024,20-F,98615,2,98615,98615
1508478,2025,20-F,96782,3,96782,96782
1517399,2017,20-F,4982,12,113,24000
1517399,2018,20-F,3522,19,107,30000
1517399,2019,20-F,5019,13,122,30000
1517399,2020,20-F,3936,13,125,34000
1517399,2021,20-F,3837,13,119,30800
1517399,2022,20-F,386,13,119,5021
1517399,2023,20-F,3494,8,110,4807
1517399,2024,20-F,700,9,100,3814
1517399,2025,20-F,3196,8,108,3663
1520504,2017,20-F,4752,2,4752,4752
1520504,2018,20-F,4600,2,4600,4600
1520504,2019,20-F,4950,2,4950,4950
1520504,2020,20-F,4846,2,4846,4846
1520504,2021,20-F,6714,2,6714,6714
1520504,2022,20-F,7364,2,7364,7364
1520504,2023,20-F,7198,2,7198,7198
1520504,2024,20-F,6901,2,6901,6901
1520504,2025,20-F,7098,2,7098,7098
1534675,2017,10-K,5399,4,5326,5853
1534675,2018,10-K,5852,4,5326,5853
1534675,2019,10-K,5852,4,5528,5852
1534675,2020,10-K,5583,4,5543,5583
1534675,2021,10-K,6908,3,5666,6908
1534675,2022,10-K,8770,4,6908,8770
1534675,2023,10-K,8531,3,8531,8770
1534675,2024,10-K,8531,5,2622,9837
1534675,2025,10-K,9601,5,1511,9837
